LOCALIDAD,2009,2010,2011,2012,2013,2014,2015,2016,2017
SINCHICUY,,,3,,,,,,
SUﾃ選CANA,,,,,,,,1,7
SUCUSARI,6,,48,49,82,49,30,54,9
SU?ICANA,,3,2,5,1,15,5,,
SUNI COCHA,,,,,3,3,1,1,2
SUNI MIRA?O,,,,,,,1,,
SUNICA?O RIO MAZAN,14,,,,,,,,
TACSHA MOENA,,1,2,5,,1,,7,
TAMANCO,1,1,2,1,,4,137,13,2
TAPAJE,,,6,1,,,1,,
TAPICHE,,,3,,2,,,,
TASHACURARAY,,,1,,,,,,
TIGRE,,,2,1,2,,3,5,1
TIGRE COCHA,,,1,,,1,,,1
TIMICURILLO,,,,3,,1,2,1,
TIVE POZA,,2,,,,,,,
TIWINZA,1,,2,4,4,7,5,2,
TRIUNFO CENTRO VARADERILL,1,2,,,1,1,,,
URCO MIRAﾃ前,,,,,,,,8,3
URCO MIRA?O,49,1,7,5,92,62,139,,
URCO MIRANO,,,,,,,,,1
VAINILLA,,,,,,,1,,
VARADERILLO,,,,1,2,,,3,
VILLA MARIA,,,1,,2,,,,
VISTO BUENO,12,2,8,25,30,29,27,22,32
YARANA,,2,2,1,2,,1,,1
YARINA ISLA,,4,1,3,1,2,,1,1
YURAC YACU,7,3,5,1,7,5,3,6,6
YUTOCOCHA,82,13,63,9,17,1,2,2,3
(en blanco),,,,167,13,8,4,39,7
